state,num_locations
Alabama,1.0
Alaska,1.0
Arizona,4.0
Arkansas,1.0
California,14.0
Colorado,1.0
Connecticut,1.0
Delaware,1.0
District of Columbia,1.0
Florida,6.0
Georgia,4.0
Hawaii,1.0
Idaho,1.0
Illinois,1.0
Indiana,1.0
Iowa,1.0
Kansas,1.0
Kentucky,1.0
Louisiana,1.0
Maine,1.0
Maryland,1.0
Massachusetts,1.0
Michigan,1.0
Minnesota,1.0
Mississippi,1.0
Missouri,1.0
Montana,1.0
Nebraska,1.0
Nevada,1.0
New Hampshire,1.0
New Jersey,2.0
New Mexico,1.0
New York,7.0
North Carolina,3.0
North Dakota,1.0
Ohio,2.0
Oklahoma,1.0
Oregon,1.0
Pennsylvania,3.0
Rhode Island,1.0
South Carolina,2.0
South Dakota,1.0
Tennessee,2.0
Texas,11.0
Utah,1.0
Vermont,1.0
Virginia,2.0
Washington,1.0
West Virginia,1.0
Wisconsin,1.0
Wyoming,1.0
